epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.9576,1.56539,4.25772,1.81083,0.0048,0.68935,0.16331,0.09665,1.11512,4.26686,1.70425,7.777e-05,7.777e-05,7.777e-05
2,132.455,1.19909,3.76472,1.49326,0.00571,0.81506,0.35856,0.27973,1.09052,4.16753,1.58158,0.000150152,0.000150152,0.000150152
3,195.688,1.08315,2.91302,1.40525,0.00527,0.89506,0.5001,0.34708,1.13993,4.07272,1.58934,0.000204935,0.000204935,0.000204935
4,258.699,1.08393,2.57838,1.40631,0.00466,0.93143,0.6674,0.46922,1.11265,3.86843,1.49834,0.00024212,0.00024212,0.00024212
5,324.487,1.0356,2.3145,1.30051,0.00471,0.98182,0.73246,0.50813,1.13358,3.80562,1.53393,0.000261707,0.000261707,0.000261707
6,390.947,1.06044,2.09832,1.31163,0.00504,1,0.75441,0.52034,1.12497,3.70124,1.45948,0.000263696,0.000263696,0.000263696
7,455.078,0.96269,1.87836,1.24542,0.91221,0.08076,0.77239,0.57079,1.08001,3.60336,1.42672,0.000248086,0.000248086,0.000248086
8,518.72,0.95613,1.86309,1.24926,0.90669,0.25246,0.83239,0.64587,1.08238,3.35318,1.40127,0.000214879,0.000214879,0.000214879
9,581.922,0.9755,1.82759,1.25099,0.93579,0.39114,0.823,0.61312,1.04149,3.25091,1.37177,0.000164072,0.000164072,0.000164072
10,646.012,0.9013,1.7632,1.2027,0.92096,0.71025,0.89656,0.66926,1.06795,3.05989,1.39757,9.56682e-05,9.56682e-05,9.56682e-05
